# owningplugin|localid|baseEditorID|cell|controllers
dawnguard.esm|000F7D|NorPortcullisLarge01|DLC1DimHollowCrypt01|NorPullChain01
dawnguard.esm|002F8D|NorPortcullisLarge01|DLC1DimHollowCrypt01|NorLever01
dawnguard.esm|018413|NorPortcullis|DLC1DimHollowCrypt01|NorPullChain01
dawnguard.esm|009742|NorPortcullisLarge01|DLC1DimHollowCrypt02|NorLever01,TrapLinker
dawnguard.esm|0097F2|NorPortcullisLarge01|DLC1DimHollowCrypt02|NorPullChain01
dawnguard.esm|0135BE|NorPortcullis|DLC1HunterCave01|MetalLever01
dawnguard.esm|00A5B5|NorSecRmSmDoorSm01|DLC1RedwaterDen01|NorPullChain01
dawnguard.esm|00A67E|NorSecRmSmDoorSm01|DLC1RedwaterDen01|NorPullChain01
dawnguard.esm|00F602|NorSecRmSmDoorSm01|DLC1RedwaterDen01|NorPullChain01
dawnguard.esm|012F61|NorSecRmSmDoorSm01|DLC1RedwaterDen01|NorPullChain01
dawnguard.esm|00618D|NorPortcullis|DLC1RedwaterDen02|NorPullChain01
dawnguard.esm|00619F|NorPortcullis|DLC1RedwaterDen02|NorPullChain01
dawnguard.esm|00996E|NorPortcullis|DLC1RedwaterDen02|NorPullChain01
dawnguard.esm|018A00|CasPortcullis|DLC1VampireCastleDungeon02|GenPullChain01
dawnguard.esm|018E70|CasPortcullis|DLC1VampireCastleDungeon02|GenPullChain01
dawnguard.esm|018F61|CasPortcullis|DLC1VampireCastleDungeon02|GenPullChain01
dawnguard.esm|019A7E|CasPortcullis|DLC1VampireCastleGuildhall|GenPullChain01
jk's castle volkihar.esp|000F06|CasPortcullis|DLC1VampireCastleZCell1|NorPullChain01
dragonborn.esm|03456E|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|03456F|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034570|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034571|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034572|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034573|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034574|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034575|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034576|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
dragonborn.esm|034577|PortGatePole05|DLC2AshfallowCitadel01|GenPullChain01
